,species,latitude,longitude,nummosquitos,month,day,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,Sunrise,Sunset,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,wnvpresent
0,2,41.95469,-87.800991,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
1,3,41.95469,-87.800991,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
2,3,41.994991,-87.769279,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
3,2,41.974089,-87.824812,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
4,3,41.974089,-87.824812,4,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
5,3,41.9216,-87.666455,2,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
6,3,41.891118,-87.654491,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
7,2,41.867108,-87.654224,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
8,3,41.867108,-87.654224,2,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
9,3,41.896282,-87.655232,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
10,2,41.919343,-87.694259,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
11,2,41.921965,-87.632085,2,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
12,3,41.921965,-87.632085,3,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
13,2,41.688324,-87.676709,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
14,3,41.688324,-87.676709,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
15,3,41.862292,-87.64886,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
16,3,41.720848,-87.666014,3,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
17,3,41.731922,-87.677512,5,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
18,1,41.731922,-87.677512,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
19,2,41.891126,-87.61156,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
20,3,41.891126,-87.61156,2,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
21,2,41.999129,-87.795585,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
22,2,42.01743,-87.687769,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
23,3,41.907645,-87.760886,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
24,3,41.732984,-87.649642,1,5,29,88,60,74,10,58,65.0,9,421,1917,29.39,30.11,5.8,18,6.5,0
25,2,41.95469,-87.800991,3,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
26,3,41.95469,-87.800991,5,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
27,1,41.95469,-87.800991,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
28,2,41.974089,-87.824812,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
29,3,41.974089,-87.824812,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
30,2,41.9216,-87.666455,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
31,3,41.9216,-87.666455,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
32,1,41.9216,-87.666455,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
33,3,41.891118,-87.654491,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
34,2,41.867108,-87.654224,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
35,3,41.867108,-87.654224,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
36,1,41.867108,-87.654224,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
37,3,41.896282,-87.655232,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
38,2,41.919343,-87.694259,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
39,3,41.919343,-87.694259,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
